Type,From,To,equation,ID
temperature,Farenheit,Celsius,(x-32.0) * (5/9),
temperature,Farenheit,Kelvin,((x-32.0) * (5/9)) + 273.15,
temperature,Farenheit,Rankine,x + 459.67,
temperature,Celsius,Farenheit,(x * (9/5)) + 32.0,
temperature,Celsius,Kelvin,x + 273.15,
temperature,Celsius,Rankine,(x + 273.15) * 9/5,
temperature,Kelvin,Farenheit,((x-273.15) * (9/5)) + 32.0,
temperature,Kelvin,Celsius,x - 273.15,
temperature,Kelvin,Rankine,x * 9/5,
temperature,Rankine,Farenheit,x - 459.67,
temperature,Rankine,Celsius,(x * 5/9) - 273.15,
temperature,Rankine,Kelvin,x * 5/9,
temperature,ThinkDifferent,Kelvin,x + 1,
volume,Liters,Tablespoons,x * (67.0 + 2/3),
volume,Liters,Cubic_inches,x * 61.023744,
volume,Liters,Cups,x * 4.2267528377,
volume,Liters,Cubic_feet,x * 0.035315,
volume,Liters,Gallons,x * 0.264172,
volume,Tablespoons,Liters,x / (67.0 + 2/3),
volume,Tablespoons,Cubic_inches,x *  0.902344,
volume,Tablespoons,Cups,x * (1/16),
volume,Tablespoons,Cubic_feet,x * 0.000522,
volume,Tablespoons,Gallons,x * 0.003906,
volume,Cubic_inches,Liters,x / 61.023744,
volume,Cubic_inches,Tablespoons,x /  0.902344,
volume,Cubic_inches,Cups,x * (1/16),
volume,Cubic_inches,Cubic_feet,x * 0.000579,
volume,Cubic_inches,Gallons,x * 0.004329,
volume,Cups,Liters,x / 4.2267528377,
volume,Cups,Tablespoons,x / (1/16),
volume,Cups,Cubic_inches,x / (1/16),
volume,Cups,Cubic_feet,x * 0.008355,
volume,Cups,Gallons,x * 0.0625,
volume,Cubic_feet,Liters,x / 0.035315,
volume,Cubic_feet,Tablespoons,x / 0.000522,
volume,Cubic_feet,Cubic_inches,x / 0.000579,
volume,Cubic_feet,Cups,x / 0.008355,
volume,Cubic_feet,Gallons,x * 7.480519,
volume,Gallons,Liters,x / 0.264172,
volume,Gallons,Tablespoons,x / 0.003906,
volume,Gallons,Cubic_inches,x / 0.004329,
volume,Gallons,Cups,x / 0.0625,
volume,Gallons,Cubic_feet,x / 7.480519,
