Type,student_id,response,input_value,from_type,to_type,grade,timestamp,ID
temperature,ABC123,0,32,Celsius,Kelvin,GradeTypes.INCORRECT,2023-11-15 08:20 PM,80baf9e2-c0b0-44cc-aa0e-95b23a1d2fdb
temperature,ABC123,32.0,0,Celsius,Farenheit,correct,2023-10-01 04:00 PM,96b297ca-7e57-4f81-a6b6-5e05f4384987
temperature,ABC123,84.2,543.94,Farenheit,Rankine,correct,2023-10-02 01:00 PM,3749450c-7008-4fde-9d91-3bdc07795186
temperature,ABC123,111.554,317.33,Kelvin,Farenheit,incorrect,2023-10-01 09:01 AM,4d5528b3-c2d7-42f2-a8e2-08bbf0ccc356
temperature,ABC1233,0,32,Farenheit,Celsius,correct,2023-10-02 10:00 AM,5e849a56-f7e9-4c82-8e43-a2d6fc75d3f8
temperature,ABC1233,dog,6.5,Farenheit,Rankine,incorrect,2023-10-03 03:00 PM,d68f7232-826a-4205-9d99-9ef9efdd4563
volume,ABC123,6.1,25.6,Cups,Liters,correct,2023-10-06 08:19 PM,03c61659-4aee-4ba8-9b92-742e5b909f5c
volume,ABC1233,19.4,73.12,Gallons,Kelvin,invalid,2023-10-06 08:19 PM,15cade8d-b9c3-4c35-893c-3f713487f98b
volume,ABC123,0,32,Liters,Cubic_inches,GradeTypes.INCORRECT,2023-11-15 08:45 PM,ba6adebc-e58a-400f-b0a3-f328b8bcd0ee
volume,ABC123,0,32,Liters,Cubic_inches,GradeTypes.INVALID,2023-11-15 09:58 PM,bffb9aae-d4fa-4dab-bcb3-e4cb764fd88d
volume,ABC123,99.3,34,Liters,Cups,GradeTypes.INVALID,2023-11-15 10:00 PM,86c741a0-85e9-4bba-8276-ae899b365950
volume,ABC123,99.2,32,Cups,Liters,GradeTypes.INVALID,2023-11-15 10:01 PM,b6c18a72-c5a4-4de8-888e-80585ad0ac95
volume,ABC123,34.5,32,Liters,Cups,GradeTypes.INVALID,2023-11-16 07:19 AM,db2f23ed-d994-4e2f-9661-8108453b26ec
temperature,ABC123,0,32,Farenheit,Celsius,GradeTypes.INVALID,2023-11-16 07:20 AM,5187a8a4-2a59-4f14-86a9-1d30cbe027ba
volume,ABC123,34,45.3,Liters,Cubic_feet,GradeTypes.INVALID,2023-11-16 07:31 AM,31f993ec-d105-47ec-8514-cf2b6d54f3e1
temperature,123DD,3333.333,23.555555,Kelvin,Rankine,GradeTypes.INVALID,2023-11-16 07:41 AM,ca98f278-4487-4b00-ae73-3592572cd1cf
volume,CASD123123,23.2,23.44444,Cups,Cubic_inches,GradeTypes.INVALID,2023-11-16 07:43 AM,9c7e3426-9546-4167-8e92-6b7886f4ea09
volume,CBAS123,44.3,23.333,Cubic_inches,Cups,GradeTypes.INVALID,2023-11-16 07:45 AM,f4fc6c19-ad7e-4777-bb37-bc7f0b6d554d
volume,ASDANS2123,23.2,32.2,Cubic_inches,Cups,GradeTypes.INVALID,2023-11-16 07:47 AM,c62f63d9-fcc9-4eda-88a7-1d941c0ffcac
temperature,ABC22,0,32,Farenheit,Celsius,GradeTypes.INVALID,2023-11-16 03:54 PM,3911457b-b251-4c35-8911-6d1ac5fad652
temperature,ADS,0,32,Farenheit,Celsius,GradeTypes.INCORRECT,2023-11-16 03:56 PM,84dd226d-8021-4b60-9acd-08d0b8795d82
temperature,ASDSAD,0,32,Farenheit,Celsius,GradeTypes.INCORRECT,2023-11-16 04:02 PM,28df40c0-b5d2-406f-bde3-1197097fcfb7
temperature,ABC123,543.94,84.2,Farenheit,Rankine,GradeTypes.CORRECT,2023-11-18 09:05 AM,adce44b5-0011-4d75-9f84-070b09aca074
temperature,ABC123,111.554,317.33,Kelvin,Farenheit,GradeTypes.INCORRECT,2023-11-18 09:06 AM,cd92ed3b-1a26-4561-bc24-f6e0ebbff4eb
temperature,ABC123,19.4,73.12,Cups,Kelvin,GradeTypes.INVALID,2023-11-18 09:07 AM,14550af2-ca3e-4f58-912c-0e393741a136
temperature,ABC123,0,6.5,Farenheit,Rankine,GradeTypes.INCORRECT,2023-11-18 09:09 AM,65383a74-dc93-4943-8812-08a402a4019d
volume,ABC123,0,32,Cups,Liters,GradeTypes.INCORRECT,2023-11-18 02:37 PM,141c53d2-046f-4c72-87c8-f15d70501880
volume,ABC123,6.1,25.6,Cups,Liters,GradeTypes.CORRECT,2023-11-18 02:39 PM,995d2a07-9e6d-4f59-a530-f14ce868a441
temperature,ABC123,23,6.5,Farenheit,Rankine,GradeTypes.INCORRECT,2023-11-18 02:43 PM,185c1c1d-f083-46d3-b15b-9211ab43c58d
temperature,ABC123,543.94,84.2,Farenheit,Rankine,GradeTypes.CORRECT,2023-11-18 02:44 PM,73a3a91f-a8c6-4e10-be69-4bf2a800a022
temperature,ABC123,2323,317.33,Farenheit,Rankine,GradeTypes.INCORRECT,2023-11-18 02:54 PM,dfc2d79a-fc15-438a-b680-e4bd3e5bfb0e
temperature,ABC123,111.554,317.33,Kelvin,Farenheit,GradeTypes.INCORRECT,2023-11-18 02:59 PM,d3b7d125-56ce-4b44-afb3-80be17376eb0
temperature,ABC123,543.94,84.2,Farenheit,Rankine,GradeTypes.CORRECT,2023-11-18 03:02 PM,609b1212-3fdb-4d12-9048-6ffde1724ff7
volume,ANCASD,6.1,25.6,Cups,Liters,GradeTypes.CORRECT,2023-11-18 03:04 PM,3dc6c9f6-31a5-4a59-ac5e-56db3888ab4c
volume,ABC123,giraffe,cat,Dog,Cow,GradeTypes.INVALID,2023-11-18 03:09 PM,bf75ffda-8a70-42db-9617-4a4fbc67fdeb
volume,ABC123,99,23,Cups,Liters,GradeTypes.INCORRECT,2023-11-18 03:11 PM,380ec2e7-36e3-4a63-9fe2-eccc1d545b15
volume,ABCD123,45,32,Cups,Lit,GradeTypes.INVALID,2023-11-18 03:12 PM,758c8b11-7e3b-4d50-a307-8153674669c4
volume,ABC123,0,32,Liters,Cups,GradeTypes.INCORRECT,2023-11-18 03:13 PM,08593a71-0a9d-493f-a789-14ab59eb7fd4
